dist,value
2854,2892.02490234375
2855,2891.635009765625
2856,2892.2939453125
2857,2892.237060546875
2858,2892.31103515625
2859,2893.09912109375
2860,2892.491943359375
2861,2893.337890625
2862,2893.56201171875
2863,2894.14111328125
2864,2896.637939453125
2865,2895.81689453125
2866,2897.409912109375
2867,2898.197021484375
2868,2899.02587890625
2869,2900.137939453125
2870,2899.863037109375
2871,2900.76904296875
2872,2901.285888671875
2873,2901.93994140625
2874,2902.9208984375
2875,2902.47412109375
2876,2903.427001953125
2877,2903.841064453125
2878,2904.237060546875
2879,2904.237060546875
2880,2904.5791015625
2881,2905.347900390625
2882,2905.577880859375
2883,2905.535888671875
2884,2905.535888671875
2885,2905.493896484375
2886,2905.98388671875
2887,2905.653076171875
